feature,fscore
x894,1
x799,1
x817,1
x261,1
x723,1
x290,1
x929,1
x440,1
x262,1
x1052,1
x291,1
x495,1
x900,1
x923,1
x500,2
x621,2
x872,2
x250,2
x1039,2
x279,2
x275,2
x278,3
x886,3
x740,3
x911,3
x812,3
x505,3
x450,3
x598,4
x507,4
x453,4
x540,4
x544,4
x1042,4
x808,4
x536,4
x965,4
x1044,4
x931,5
x1045,5
x425,5
x445,5
x927,5
x438,5
x501,5
x934,5
x249,5
x834,5
x320,5
x883,5
x1034,5
x321,5
x724,6
x938,6
x498,6
x776,6
x1095,6
x810,6
x1031,6
x668,6
x702,6
x448,7
x922,7
x437,7
x635,7
x658,7
x701,7
x936,7
x912,7
x662,7
x691,8
x1037,8
x439,8
x1079,8
x312,8
x854,8
x893,9
x537,9
x443,9
x901,9
x508,9
x318,9
x545,9
x916,9
x871,10
x302,10
x755,10
x1050,10
x1014,10
x1032,10
x1033,10
x907,10
x1098,10
x447,10
x310,11
x596,11
x442,11
x671,11
x903,11
x891,12
x1093,12
x906,12
x715,12
x754,12
x811,12
x917,12
x712,13
x1035,13
x492,13
x719,13
x426,14
x567,14
x742,14
x921,14
x884,14
x801,14
x317,14
x316,14
x625,14
x452,15
x896,15
x597,15
x714,15
x939,15
x618,15
x1081,15
x281,15
x1027,15
x898,16
x758,16
x423,16
x670,16
x457,16
x599,16
x970,17
x451,17
x975,17
x454,18
x324,18
x309,18
x570,18
x421,19
x303,19
x449,19
x300,19
x280,19
x669,19
x881,20
x1047,20
x264,20
x694,20
x569,21
x594,21
x664,21
x832,21
x1069,21
x919,21
x759,21
x456,22
x1013,22
x739,22
x1040,22
x816,23
x904,23
x600,23
x519,23
x784,23
x1043,23
x319,23
x840,23
x882,24
x1097,24
x1002,24
x311,24
x753,24
x885,24
x989,25
x622,25
x313,25
x888,25
x639,25
x1124,26
x335,26
x969,26
x1127,26
x839,26
x925,26
x926,27
x1030,27
x718,27
x932,27
x756,28
x1038,28
x880,28
x441,28
x632,29
x841,29
x848,29
x243,29
x930,29
x315,29
x693,30
x539,30
x1070,30
x571,31
x973,31
x502,31
x331,31
x706,31
x948,32
x1091,32
x301,32
x244,32
x260,33
x608,33
x703,34
x659,35
x1063,35
x974,35
x328,36
x1080,36
x415,36
x845,36
x1061,36
x887,36
x802,37
x414,37
x1036,37
x745,38
x572,38
x972,39
x242,39
x308,39
x646,39
x708,39
x1054,40
x1086,40
x793,41
x961,41
x1007,41
x779,41
x649,41
x910,41
x612,42
x561,42
x1065,43
x314,43
x523,43
x1100,44
x924,44
x258,44
x326,44
x267,45
x375,45
x783,45
x1092,45
x680,45
x411,45
x334,46
x1088,46
x627,46
x1119,46
x1125,47
x416,47
x870,47
x1075,47
x1085,47
x1099,47
x1096,48
x1129,48
x673,48
x1006,48
x1133,49
x589,49
x908,49
x419,49
x547,49
x628,51
x1076,51
x928,51
x892,51
x1017,52
x1126,52
x1012,52
x1000,52
x465,53
x1123,53
x624,53
x532,53
x1121,54
x807,54
x466,54
x327,55
x863,55
x1058,55
x971,57
x531,57
x915,58
x720,59
x1053,59
x672,59
x390,59
x835,60
x1136,60
x467,60
x577,61
x667,61
x751,61
x1122,61
x675,61
x446,62
x967,62
x819,62
x1071,63
x844,63
x265,63
x1128,64
x444,64
x1089,65
x1066,65
x643,65
x1062,66
x1112,66
x631,67
x322,67
x595,67
x623,67
x521,68
x794,68
x376,69
x263,69
x709,69
x679,69
x402,69
x1130,69
x828,69
x526,69
x1094,70
x251,70
x937,70
x889,71
x378,71
x717,71
x1067,71
x580,73
x517,73
x1082,73
x1104,73
x1106,74
x420,74
x1008,74
x1135,74
x586,74
x274,74
x761,76
x684,77
x535,77
x1056,77
x1120,77
x991,77
x869,78
x682,78
x874,78
x998,79
x493,79
x850,79
x862,80
x253,81
x678,81
x968,82
x579,82
x259,83
x780,83
x325,83
x966,83
x757,83
x789,83
x954,83
x1105,83
x1118,83
x1055,84
x381,84
x307,84
x1101,85
x875,85
x1116,85
x573,85
x273,86
x1059,87
x277,87
x955,87
x821,88
x391,88
x707,88
x380,89
x1131,89
x527,89
x837,89
x827,90
x1117,91
x782,91
x857,91
x1046,91
x520,93
x697,93
x1025,93
x1049,93
x1114,93
x1111,94
x605,94
x935,94
x805,95
x962,95
x750,96
x1107,97
x736,97
x770,98
x602,98
x332,100
x574,100
x1115,101
x283,101
x1057,101
x69,102
x818,103
x1102,104
x1064,104
x803,104
x1041,104
x503,104
x351,105
x345,105
x914,105
x705,105
x1087,106
x933,106
x384,107
x610,107
x1028,109
x1009,109
x777,109
x269,110
x1103,111
x256,111
x417,111
x1109,111
x1068,111
x1016,112
x1090,112
x282,113
x593,113
x370,114
x905,114
x980,114
x920,114
x510,115
x847,115
x245,115
x1138,115
x652,117
x355,118
x1015,118
x1073,119
x990,119
x866,119
x1113,119
x534,119
x1060,119
x765,119
x800,120
x1137,120
x630,120
x1110,120
x1048,120
x851,120
x806,120
x1074,121
x32,121
x285,121
x732,122
x1083,122
x747,122
x677,122
x575,123
x626,123
x522,125
x890,125
x386,126
x343,126
x655,127
x330,128
x984,128
x349,128
x1021,129
x377,129
x340,129
x674,130
x873,130
x611,130
x918,130
x413,130
x480,132
x1072,132
x909,133
x565,134
x964,135
x749,135
x458,136
x704,136
x795,136
x266,137
x737,137
x676,137
x976,138
x344,138
x1108,139
x353,139
x564,139
x470,139
x369,139
x790,139
x963,139
x371,139
x838,140
x410,140
x254,140
x464,140
x436,141
x650,142
x1020,144
x1023,144
x979,144
x987,144
x342,145
x902,145
x461,146
x424,146
x997,147
x484,148
x609,149
x746,150
x585,150
x394,150
x513,151
x372,153
x843,153
x700,153
x329,153
x983,153
x525,154
x338,156
x418,156
x985,157
x422,157
x174,157
x203,157
x431,158
x339,158
x509,158
x945,159
x657,160
x497,160
x1003,160
x752,161
x647,162
x1084,162
x982,163
x993,165
x360,166
x809,166
x614,166
x1078,166
x389,167
x512,167
x170,168
x562,168
x387,169
x388,169
x396,170
x77,170
x382,172
x576,172
x581,172
x1029,173
x434,174
x796,174
x341,174
x347,175
x374,177
x429,177
x45,179
x306,179
x1077,181
x760,182
x100,182
x529,183
x294,184
x986,185
x5,185
x506,186
x460,186
x476,186
x957,187
x1010,188
x977,188
x681,188
x494,189
x864,192
x960,192
x1005,193
x762,193
x1022,194
x590,194
x528,196
x97,196
x304,196
x408,196
x1011,197
x514,197
x996,197
x485,198
x385,198
x459,198
x958,200
x583,200
x196,200
x36,200
x713,204
x393,204
x689,204
x481,204
x361,204
x122,204
x73,206
x80,207
x729,207
x336,207
x75,207
x556,207
x478,208
x1018,208
x147,209
x988,209
x295,209
x430,210
x64,210
x365,211
x499,211
x804,212
x1024,212
x195,212
x781,212
x401,212
x354,212
x70,213
x103,213
x733,213
x748,214
x220,214
x856,215
x764,215
x824,216
x490,216
x582,216
x198,216
x12,217
x17,218
x395,219
x188,219
x683,220
x155,220
x186,220
x533,220
x197,221
x33,222
x999,224
x563,225
x956,226
x109,227
x651,227
x483,227
x39,228
x978,229
x1019,229
x255,230
x530,230
x288,231
x475,231
x836,232
x118,232
x202,234
x104,234
x995,234
x146,236
x110,236
x992,236
x1004,237
x403,239
x205,239
x221,239
x766,239
x169,239
x268,240
x116,240
x548,240
x348,241
x176,243
x48,243
x553,243
x350,245
x271,245
x648,246
x356,246
x287,247
x3,247
x379,248
x878,248
x398,248
x412,249
x323,249
x106,251
x469,251
x373,252
x81,252
x731,253
x72,253
x108,253
x568,254
x686,254
x210,255
x225,255
x482,256
x362,259
x699,259
x63,259
x207,259
x284,260
x383,260
x653,260
x23,260
x222,261
x299,262
x213,263
x474,263
x578,264
x145,265
x233,265
x772,265
x86,265
x201,265
x230,265
x190,266
x124,266
x946,266
x557,266
x232,267
x194,267
x136,267
x405,267
x117,268
x555,268
x868,268
x738,268
x107,269
x846,269
x206,269
x409,269
x257,269
x656,269
x15,269
x167,270
x551,270
x359,270
x949,271
x119,271
x981,272
x550,274
x953,274
x1026,274
x473,274
x358,274
x191,276
x16,278
x994,278
x392,278
x89,278
x179,278
x865,278
x524,279
x173,279
x37,279
x150,280
x113,280
x472,280
x14,280
x4,280
x182,281
x730,281
x337,281
x552,281
x292,282
x479,282
x60,283
x241,284
x88,285
x226,285
x157,286
x125,286
x634,286
x792,286
x346,287
x192,287
x47,288
x721,288
x168,288
x178,289
x187,290
x71,292
x193,292
x49,292
x216,293
x228,293
x858,294
x74,294
x121,294
x154,295
x111,295
x214,296
x546,296
x151,296
x357,296
x486,297
x85,297
x399,298
x305,299
x687,299
x826,300
x477,301
x352,301
x947,301
x44,301
x698,301
x1001,303
x52,303
x397,303
x46,304
x204,304
x400,304
x227,304
x849,305
x61,305
x132,305
x404,306
x181,307
x130,307
x156,307
x38,308
x11,308
x91,309
x959,310
x217,311
x129,311
x200,311
x120,313
x471,313
x9,313
x10,315
x19,316
x829,318
x144,319
x950,321
x20,321
x62,322
x166,323
x18,323
x246,324
x41,324
x185,325
x139,326
x43,326
x128,326
x160,326
x84,326
x24,327
x942,328
x208,329
x867,331
x722,331
x171,331
x22,332
x102,332
x21,332
x42,332
x184,333
x613,333
x105,335
x601,336
x78,336
x407,336
x51,337
x8,337
x7,338
x149,338
x112,338
x690,339
x560,340
x823,340
x165,341
x126,341
x629,341
x234,344
x172,344
x771,346
x87,346
x685,346
x83,346
x645,347
x163,348
x462,349
x435,349
x511,350
x778,350
x427,351
x57,352
x159,352
x56,353
x763,353
x272,355
x183,357
x189,358
x238,359
x842,360
x240,361
x161,361
x952,361
x237,361
x223,362
x35,362
x852,362
x215,363
x199,363
x289,365
x13,366
x428,366
x114,367
x716,368
x406,371
x180,372
x131,375
x367,375
x296,375
x235,376
x1,376
x54,377
x633,378
x162,378
x123,379
x252,380
x432,381
x140,381
x90,381
x34,382
x82,383
x6,384
x825,386
x40,387
x218,388
x31,389
x941,389
x944,390
x229,390
