feature,fscore
x1108,139.0
x1137,120.0
x1110,120.0
x1113,119.0
x1138,115.0
x1109,111.0
x417,111.0
x1041,104.0
x1115,101.0
x1107,97.0
x1111,94.0
x1114,93.0
x1117,91.0
x1046,91.0
x1131,89.0
x1116,85.0
x1118,83.0
x1120,77.0
x1135,74.0
x1130,69.0
x1112,66.0
x444,64.0
x1128,64.0
x1122,61.0
x1136,60.0
x1121,54.0
x1123,53.0
x1126,52.0
x1133,49.0
x1129,48.0
x416,47.0
x1125,47.0
x1119,46.0
x411,45.0
x314,43.0
x308,39.0
x1036,37.0
x415,36.0
x301,32.0
x315,29.0
x1038,28.0
x1127,26.0
x1124,26.0
x313,25.0
x311,24.0
x885,24.0
x319,23.0
x1043,23.0
x1040,22.0
x1047,20.0
x449,19.0
x303,19.0
x300,19.0
x454,18.0
x309,18.0
x452,15.0
x884,14.0
x426,14.0
x316,14.0
x317,14.0
x1035,13.0
x310,11.0
x1050,10.0
x302,10.0
x1032,10.0
x447,10.0
x1033,10.0
x318,9.0
x312,8.0
x439,8.0
x1037,8.0
x448,7.0
x1031,6.0
x1034,5.0
x321,5.0
x320,5.0
x1045,5.0
x438,5.0
x883,5.0
x1042,4.0
x1044,4.0
x453,4.0
x450,3.0
x886,3.0
x1039,2.0
x440,1.0
x1052,1.0
x455,
x487,
x488,
x1051,
x1132,
x1134,
