feature,fscore
x559,590.0
x584,580.0
x26,566.0
x138,563.0
x368,545.0
x592,532.0
x29,517.0
x96,507.0
x364,503.0
x137,501.0
x76,493.0
x59,488.0
x767,485.0
x270,482.0
x142,480.0
x94,479.0
x951,476.0
x152,474.0
x236,471.0
x135,469.0
x25,469.0
x27,468.0
x940,464.0
x67,464.0
x769,463.0
x606,461.0
x791,460.0
x98,459.0
x58,459.0
x28,458.0
x554,458.0
x879,458.0
x95,455.0
x231,454.0
x99,447.0
x549,444.0
x558,441.0
x366,440.0
x224,439.0
x433,439.0
x92,437.0
x239,433.0
x79,431.0
x212,431.0
x65,429.0
x297,428.0
x53,424.0
x55,423.0
x93,423.0
x134,422.0
x607,422.0
x158,422.0
x734,421.0
x143,420.0
x822,420.0
x101,420.0
x2,419.0
x943,416.0
x153,415.0
x591,415.0
x148,414.0
x654,414.0
x68,410.0
x286,406.0
x141,405.0
x30,405.0
x298,404.0
x50,402.0
x768,402.0
x164,401.0
x293,399.0
x820,398.0
x209,395.0
x175,395.0
x66,395.0
x219,395.0
x127,394.0
x363,394.0
x735,393.0
x177,393.0
x133,392.0
x211,392.0
x115,391.0
x229,390.0
x944,390.0
x31,389.0
x941,389.0
x218,388.0
x40,387.0
x825,386.0
x6,384.0
x82,383.0
x34,382.0
x90,381.0
x140,381.0
x432,381.0
x252,380.0
x123,379.0
x633,378.0
x162,378.0
x54,377.0
x235,376.0
x1,376.0
x131,375.0
x367,375.0
x296,375.0
x180,372.0
x406,371.0
x716,368.0
x114,367.0
x13,366.0
x428,366.0
x289,365.0
x199,363.0
x215,363.0
x35,362.0
x852,362.0
x223,362.0
x952,361.0
x237,361.0
x161,361.0
x240,361.0
x842,360.0
x238,359.0
x189,358.0
x183,357.0
x272,355.0
x763,353.0
x56,353.0
x57,352.0
x159,352.0
x427,351.0
x778,350.0
x511,350.0
x435,349.0
x462,349.0
x163,348.0
x645,347.0
x771,346.0
x83,346.0
x685,346.0
x87,346.0
x172,344.0
x234,344.0
x629,341.0
x165,341.0
x126,341.0
x560,340.0
x823,340.0
x690,339.0
x149,338.0
x112,338.0
x7,338.0
x51,337.0
x8,337.0
x78,336.0
x407,336.0
x601,336.0
x105,335.0
x184,333.0
x613,333.0
x42,332.0
x102,332.0
x22,332.0
x21,332.0
x722,331.0
x171,331.0
x867,331.0
x208,329.0
x942,328.0
x24,327.0
x160,326.0
x128,326.0
x43,326.0
x84,326.0
x139,326.0
x185,325.0
x246,324.0
x41,324.0
x18,323.0
x166,323.0
x62,322.0
x20,321.0
x950,321.0
x144,319.0
x829,318.0
x19,316.0
x10,315.0
x9,313.0
x471,313.0
x120,313.0
x129,311.0
x217,311.0
x200,311.0
x959,310.0
x91,309.0
x38,308.0
x11,308.0
x181,307.0
x130,307.0
x156,307.0
x404,306.0
x132,305.0
x61,305.0
x849,305.0
x46,304.0
x227,304.0
x204,304.0
x400,304.0
x52,303.0
x1001,303.0
x397,303.0
x352,301.0
x698,301.0
x947,301.0
x477,301.0
x44,301.0
x826,300.0
x305,299.0
x687,299.0
x399,298.0
x85,297.0
x486,297.0
x546,296.0
x151,296.0
x357,296.0
x214,296.0
x111,295.0
x154,295.0
x121,294.0
x74,294.0
x858,294.0
x216,293.0
x228,293.0
x49,292.0
x71,292.0
x193,292.0
x187,290.0
x178,289.0
x47,288.0
x168,288.0
x721,288.0
x346,287.0
x192,287.0
x157,286.0
x125,286.0
x792,286.0
x634,286.0
x226,285.0
x88,285.0
x241,284.0
x60,283.0
x292,282.0
x479,282.0
x552,281.0
x337,281.0
x730,281.0
x182,281.0
x113,280.0
x150,280.0
x14,280.0
x4,280.0
x472,280.0
x524,279.0
x37,279.0
x173,279.0
x89,278.0
x994,278.0
x179,278.0
x392,278.0
x16,278.0
x865,278.0
x191,276.0
x953,274.0
x358,274.0
x473,274.0
x1026,274.0
x550,274.0
x981,272.0
x119,271.0
x949,271.0
x167,270.0
x551,270.0
x359,270.0
x15,269.0
x107,269.0
x257,269.0
x846,269.0
x409,269.0
x206,269.0
x656,269.0
x555,268.0
x738,268.0
x117,268.0
x868,268.0
x194,267.0
x405,267.0
x136,267.0
x232,267.0
x557,266.0
x190,266.0
x946,266.0
x124,266.0
x233,265.0
x772,265.0
x201,265.0
x86,265.0
x145,265.0
x230,265.0
x578,264.0
x213,263.0
x474,263.0
x299,262.0
x222,261.0
x383,260.0
x653,260.0
x284,260.0
x23,260.0
x63,259.0
x362,259.0
x699,259.0
x207,259.0
x482,256.0
x210,255.0
x225,255.0
x568,254.0
x686,254.0
x72,253.0
x731,253.0
x108,253.0
x81,252.0
x373,252.0
x469,251.0
x106,251.0
x323,249.0
x412,249.0
x878,248.0
x379,248.0
x398,248.0
x287,247.0
x3,247.0
x648,246.0
x356,246.0
x271,245.0
x350,245.0
x176,243.0
x553,243.0
x48,243.0
x348,241.0
x548,240.0
x116,240.0
x268,240.0
x205,239.0
x403,239.0
x766,239.0
x221,239.0
x169,239.0
x1004,237.0
x146,236.0
x110,236.0
x992,236.0
x104,234.0
x202,234.0
x995,234.0
