"feature","type"
"x1","numeric"
"x2","numeric"
"x3","numeric"
"x4","numeric"
"x5","numeric"
"x6","numeric"
"x7","numeric"
"x8","numeric"
"x9","numeric"
"x10","numeric"
"x11","numeric"
"x12","numeric"
"x13","numeric"
"x14","numeric"
"x15","numeric"
"x16","numeric"
"x17","numeric"
"x18","numeric"
"x19","numeric"
"x20","numeric"
"x21","numeric"
"x22","numeric"
"x23","numeric"
"x24","numeric"
"x25","numeric"
"x26","numeric"
"x27","numeric"
"x28","numeric"
"x29","numeric"
"x30","numeric"
"x31","numeric"
"x32","numeric"
"x33","numeric"
"x34","numeric"
"x35","numeric"
"x36","numeric"
"x37","numeric"
"x38","numeric"
"x39","numeric"
"x40","numeric"
"x41","numeric"
"x42","numeric"
"x43","numeric"
"x44","numeric"
"x45","numeric"
"x46","numeric"
"x47","numeric"
"x48","numeric"
"x49","numeric"
"x50","numeric"
"x51","numeric"
"x52","numeric"
"x53","numeric"
"x54","numeric"
"x55","numeric"
"x56","numeric"
"x57","numeric"
"x58","numeric"
"x59","numeric"
"x60","numeric"
"x61","numeric"
"x62","numeric"
"x63","numeric"
"x64","numeric"
"x65","numeric"
"x66","numeric"
"x67","numeric"
"x68","numeric"
"x69","numeric"
"x70","numeric"
"x71","numeric"
"x72","numeric"
"x73","numeric"
"x74","numeric"
"x75","numeric"
"x76","numeric"
"x77","numeric"
"x78","numeric"
"x79","numeric"
"x80","numeric"
"x81","numeric"
"x82","numeric"
"x83","numeric"
"x84","numeric"
"x85","numeric"
"x86","numeric"
"x87","numeric"
"x88","numeric"
"x89","numeric"
"x90","numeric"
"x91","numeric"
"x92","numeric"
"x93","numeric"
"x94","numeric"
"x95","numeric"
"x96","numeric"
"x97","numeric"
"x98","numeric"
"x99","numeric"
"x100","numeric"
"x101","numeric"
"x102","numeric"
"x103","numeric"
"x104","numeric"
"x105","numeric"
"x106","numeric"
"x107","numeric"
"x108","numeric"
"x109","numeric"
"x110","numeric"
"x111","numeric"
"x112","numeric"
"x113","numeric"
"x114","numeric"
"x115","numeric"
"x116","numeric"
"x117","numeric"
"x118","numeric"
"x119","numeric"
"x120","numeric"
"x121","numeric"
"x122","numeric"
"x123","numeric"
"x124","numeric"
"x125","numeric"
"x126","numeric"
"x127","numeric"
"x128","numeric"
"x129","numeric"
"x130","numeric"
"x131","numeric"
"x132","numeric"
"x133","numeric"
"x134","numeric"
"x135","numeric"
"x136","numeric"
"x137","numeric"
"x138","numeric"
"x139","numeric"
"x140","numeric"
"x141","numeric"
"x142","numeric"
"x143","numeric"
"x144","numeric"
"x145","numeric"
"x146","numeric"
"x147","numeric"
"x148","numeric"
"x149","numeric"
"x150","numeric"
"x151","numeric"
"x152","numeric"
"x153","numeric"
"x154","numeric"
"x155","numeric"
"x156","numeric"
"x157","numeric"
"x158","numeric"
"x159","numeric"
"x160","numeric"
"x161","numeric"
"x162","numeric"
"x163","numeric"
"x164","numeric"
"x165","numeric"
"x166","numeric"
"x167","numeric"
"x168","numeric"
"x169","numeric"
"x170","numeric"
"x171","numeric"
"x172","numeric"
"x173","numeric"
"x174","numeric"
"x175","numeric"
"x176","numeric"
"x177","numeric"
"x178","numeric"
"x179","numeric"
"x180","numeric"
"x181","numeric"
"x182","numeric"
"x183","numeric"
"x184","numeric"
"x185","numeric"
"x186","numeric"
"x187","numeric"
"x188","numeric"
"x189","numeric"
"x190","numeric"
"x191","numeric"
"x192","numeric"
"x193","numeric"
"x194","numeric"
"x195","numeric"
"x196","numeric"
"x197","numeric"
"x198","numeric"
"x199","numeric"
"x200","numeric"
"x201","numeric"
"x202","numeric"
"x203","numeric"
"x204","numeric"
"x205","numeric"
"x206","numeric"
"x207","numeric"
"x208","numeric"
"x209","numeric"
"x210","numeric"
"x211","numeric"
"x212","numeric"
"x213","numeric"
"x214","numeric"
"x215","numeric"
"x216","numeric"
"x217","numeric"
"x218","numeric"
"x219","numeric"
"x220","numeric"
"x221","numeric"
"x222","numeric"
"x223","numeric"
"x224","numeric"
"x225","numeric"
"x226","numeric"
"x227","numeric"
"x228","numeric"
"x229","numeric"
"x230","numeric"
"x231","numeric"
"x232","numeric"
"x233","numeric"
"x234","numeric"
"x235","numeric"
"x236","numeric"
"x237","numeric"
"x238","numeric"
"x239","numeric"
"x240","numeric"
"x241","numeric"
"x242","numeric"
"x243","numeric"
"x244","numeric"
"x245","numeric"
"x246","numeric"
"x247","numeric"
"x248","numeric"
"x249","numeric"
"x250","numeric"
"x251","numeric"
"x252","numeric"
"x253","numeric"
"x254","numeric"
"x255","numeric"
"x256","numeric"
"x257","numeric"
"x258","numeric"
"x259","numeric"
"x260","numeric"
"x261","numeric"
"x262","numeric"
"x263","numeric"
"x264","numeric"
"x265","numeric"
"x266","numeric"
"x267","numeric"
"x268","numeric"
"x269","numeric"
"x270","numeric"
"x271","numeric"
"x272","numeric"
"x273","numeric"
"x274","numeric"
"x275","numeric"
"x276","numeric"
"x277","numeric"
"x278","numeric"
"x279","numeric"
"x280","numeric"
"x281","numeric"
"x282","numeric"
"x283","numeric"
"x284","numeric"
"x285","numeric"
"x286","numeric"
"x287","numeric"
"x288","numeric"
"x289","numeric"
"x290","numeric"
"x291","numeric"
"x292","numeric"
"x293","numeric"
"x294","numeric"
"x295","numeric"
"x296","numeric"
"x297","numeric"
"x298","numeric"
"x299","numeric"
"x300","category"
"x301","category"
"x302","category"
"x303","category"
"x304","numeric"
"x305","numeric"
"x306","numeric"
"x307","numeric"
"x308","category"
"x309","category"
"x310","category"
"x311","category"
"x312","category"
"x313","category"
"x314","category"
"x315","category"
"x316","category"
"x317","category"
"x318","category"
"x319","category"
"x320","category"
"x321","category"
"x322","numeric"
"x323","numeric"
"x324","numeric"
"x325","numeric"
"x326","numeric"
"x327","numeric"
"x328","numeric"
"x329","numeric"
"x330","numeric"
"x331","numeric"
"x332","numeric"
"x333","numeric"
"x334","numeric"
"x335","numeric"
"x336","numeric"
"x337","numeric"
"x338","numeric"
"x339","numeric"
"x340","numeric"
"x341","numeric"
"x342","numeric"
"x343","numeric"
"x344","numeric"
"x345","numeric"
"x346","numeric"
"x347","numeric"
"x348","numeric"
"x349","numeric"
"x350","numeric"
"x351","numeric"
"x352","numeric"
"x353","numeric"
"x354","numeric"
"x355","numeric"
"x356","numeric"
"x357","numeric"
"x358","numeric"
"x359","numeric"
"x360","numeric"
"x361","numeric"
"x362","numeric"
